transaction_id,items
1,bread|milk|pasta|tomato_sauce
2,bread|eggs|milk|rice
3,bananas|bread|butter|coffee|milk|sugar|yogurt
4,bananas|coffee|yogurt
5,bread|milk
6,bread|milk|pasta|tomato_sauce
7,bananas|pasta|tomato_sauce|yogurt
8,apples|cheese|pasta|tomato_sauce
9,bread|butter|cheese|chicken|coffee|sugar
10,bananas|bread|chicken|coffee|milk|rice|sugar|yogurt
11,butter|cheese
12,bananas|bread|coffee|milk|pasta|tomato_sauce|yogurt
13,bread|butter|milk|pasta
14,coffee|eggs|pasta|sugar|tomato_sauce
15,chicken|coffee|pasta|rice|sugar
16,apples|eggs|pasta|tomato_sauce
17,bananas|cheese|coffee|sugar|yogurt
18,eggs|sugar
19,eggs|tea
20,bread|cheese|chicken|milk|rice
21,bread|milk|pasta|rice|sugar|tomato_sauce
22,eggs|yogurt
23,cheese|chicken|tomato_sauce
24,tomato_sauce
25,pasta|tomato_sauce
26,bread|butter|milk
27,bananas|butter|chicken|coffee|milk|rice|yogurt
28,chicken|pasta|rice|tomato_sauce
29,bananas|cheese|coffee|sugar|yogurt
30,bread|butter|tea|tomato_sauce
31,bread|butter|coffee|sugar
32,bread|coffee|milk
33,bananas|chicken|coffee|rice|sugar|yogurt
34,bananas|chicken|yogurt
35,bananas|chicken|rice|yogurt
36,bananas|chicken|rice|tea|tomato_sauce|yogurt
37,bread|milk
38,bananas|bread|cheese|yogurt
39,pasta|tomato_sauce
40,bananas|bread|butter|coffee|eggs|milk|sugar|yogurt
41,bread|milk|pasta|tea|tomato_sauce
42,apples|bananas|milk|yogurt
43,bread|butter
44,bread|cheese|coffee|milk|pasta|sugar
45,bread|butter|milk|rice
46,bananas|bread|chicken|milk|pasta|rice|tomato_sauce|yogurt
47,bread|butter|pasta|tomato_sauce
48,bread|milk|tomato_sauce
49,apples|bread|coffee|sugar
50,apples|bread|chicken|milk
51,chicken|rice
52,butter|pasta|tomato_sauce
53,bread|chicken|milk
54,chicken|coffee|rice|sugar|tea
55,bread|butter|milk|pasta
56,bread|butter|cheese|milk
57,bread|butter|cheese|milk
58,bread|chicken|coffee|milk|rice|sugar
59,bread|butter|milk|rice
60,coffee|sugar
61,chicken|milk|pasta|rice|tomato_sauce
62,bread|chicken|milk|sugar
63,coffee|sugar|tomato_sauce
64,coffee|pasta|sugar|tomato_sauce
65,bread|milk
66,bananas|bread|coffee|milk|sugar
67,bananas|bread|eggs|milk|yogurt
68,bananas|bread|milk|pasta|tomato_sauce
69,bread|butter|cheese|eggs|milk
70,bananas|bread|butter|pasta|tomato_sauce|yogurt
71,rice
72,bread|coffee|milk|sugar|yogurt
73,bread|butter|milk
74,bananas|coffee|pasta|sugar|tomato_sauce
75,bread|milk
76,bananas|bread|chicken|milk|pasta|rice|tomato_sauce|yogurt
77,bread|butter|pasta|rice|tomato_sauce
78,cheese
79,apples|bananas|coffee|pasta|sugar|tomato_sauce
80,bananas|bread|butter|coffee|sugar|yogurt
81,milk|sugar|tomato_sauce
82,apples|bananas|eggs|milk
83,bread|milk|rice
84,chicken
85,bread|butter|milk
86,bananas|bread|milk
87,bread|milk
88,bread|butter|coffee|pasta|tomato_sauce
89,bananas|bread|butter|coffee|yogurt
90,bread|butter|chicken|milk|rice|yogurt
91,bananas|rice|yogurt
92,apples|coffee|sugar
93,bananas|bread|milk|yogurt
94,bread|chicken|coffee|milk|rice|sugar
95,coffee
96,chicken
97,bread|butter|pasta|tomato_sauce
98,bananas|butter|coffee|sugar|yogurt
99,bread|butter|milk|pasta|tomato_sauce
100,bananas|bread|coffee|milk|pasta|tomato_sauce
101,bread|butter|chicken|eggs|rice
102,cheese
103,bread|butter|eggs|pasta|sugar
104,bread|butter|coffee|milk|sugar
105,bananas|bread|coffee|eggs|milk
106,milk|yogurt
107,yogurt
108,bananas|bread|coffee|milk|rice|sugar|yogurt
109,apples|bananas|bread|butter|chicken|milk|rice|tea|yogurt
110,chicken|coffee|pasta|rice|sugar|tomato_sauce
111,bread|butter|chicken|pasta|rice|tomato_sauce
112,pasta|tea|tomato_sauce
113,bananas|pasta|tea|tomato_sauce
114,bread|milk|rice
115,bananas|coffee|sugar|tea|yogurt
116,coffee|pasta|sugar
117,bread|butter|milk
118,bananas|coffee|milk|sugar
119,apples|bananas|bread|butter|chicken|milk|rice|yogurt
120,apples|cheese|yogurt
121,apples|coffee|pasta|sugar|tomato_sauce
122,bread|butter|pasta|sugar
123,bread|butter|chicken|milk|rice
124,tea
125,bread|butter|milk|pasta|tomato_sauce
126,bread|butter|coffee|sugar
127,apples|pasta|rice|sugar
128,bread|butter|tomato_sauce
129,bread|butter|milk
130,bread|butter|cheese|chicken|milk|pasta|tomato_sauce
131,bananas
132,pasta|tomato_sauce
133,bread|butter|chicken|milk|rice
134,bread|butter|coffee|pasta|rice
135,coffee|sugar
136,bread|butter
137,bananas|bread|butter|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce|yogurt
138,bread|chicken|milk|pasta|tea|tomato_sauce
139,bananas|cheese|chicken|rice|tomato_sauce
140,apples|bananas|coffee|sugar|yogurt
141,coffee
142,chicken|coffee|rice|sugar
143,bread|coffee|milk|pasta|sugar|tomato_sauce
144,bananas|pasta|tomato_sauce|yogurt
145,bananas|pasta|tomato_sauce|yogurt
146,bread|butter|pasta
147,apples
148,bread|milk
149,bananas|bread|chicken|coffee|milk|rice|sugar
150,chicken|pasta|rice|tomato_sauce
151,apples
152,bananas|milk|rice|yogurt
153,bananas|tomato_sauce|yogurt
154,bread|milk
155,bananas|bread|butter|chicken|eggs|yogurt
156,bananas|yogurt
157,chicken|eggs|rice|yogurt
158,bread|butter|coffee|pasta|sugar|tomato_sauce
159,bread|coffee|milk|tea
160,bread|coffee|milk|sugar|tea|tomato_sauce
161,pasta|tomato_sauce
162,milk
163,bread|eggs|milk|yogurt
164,bananas|bread|milk|rice|yogurt
165,butter|chicken|milk|rice
166,bread|butter|milk|yogurt
167,milk
168,butter|eggs
169,cheese|coffee|milk|sugar
170,apples|bread|butter|coffee|milk
171,bananas|coffee|sugar
172,bread|butter|chicken|coffee|milk|rice
173,bread|coffee|milk|sugar
174,chicken|pasta|rice
175,apples|bread|butter|milk
176,butter|coffee|sugar|yogurt
177,bread|butter|milk|pasta|tea|tomato_sauce
178,bread|milk|rice
179,bread|butter|rice
180,apples|bread|pasta
181,cheese|sugar|tomato_sauce
182,bread|chicken|rice|sugar|yogurt
183,bread|butter|chicken|coffee|milk|pasta|sugar
184,bananas|chicken|rice|tea
185,bread|butter|coffee|milk|sugar|yogurt
186,bread|butter|milk
187,bread|coffee|milk|sugar
188,bread|butter|chicken|coffee|milk|rice|sugar|tea
189,bananas|bread|coffee|milk|sugar|tea|yogurt
190,tea
191,bananas|bread|butter|cheese|yogurt
192,milk|pasta|tomato_sauce
193,bananas|bread|butter|milk|yogurt
194,bread|butter|coffee|milk|sugar
195,bread|cheese|chicken|eggs|rice|tea
196,bananas|bread|coffee|milk|pasta|tomato_sauce
197,bread|milk|tea
198,bread|butter|eggs|tea|tomato_sauce
199,apples|sugar|tomato_sauce
200,apples|cheese|rice
201,bananas|bread|milk|pasta|rice|yogurt
202,pasta
203,apples|bananas|chicken|coffee|eggs|milk|rice|sugar|yogurt
204,bread|chicken|coffee|milk|rice
205,bread|milk|tea|yogurt
206,apples|bread|butter|cheese|milk|pasta|tomato_sauce
207,bread|butter|chicken|sugar
208,bread|coffee|milk|pasta|tomato_sauce
209,chicken|rice
210,bananas|bread|milk|pasta|tomato_sauce|yogurt
211,bananas|bread|cheese|coffee|milk|pasta|sugar|yogurt
212,apples|bananas|bread|butter|milk|yogurt
213,bread|chicken|coffee|milk|rice|sugar
214,bread|butter|milk
215,coffee|milk|sugar
216,apples|bananas|bread|butter|milk|rice|yogurt
217,bread|milk
218,tomato_sauce
219,bananas|bread|butter|sugar|tomato_sauce|yogurt
220,bread|chicken|rice
221,bread|chicken|milk|rice
222,bread|butter|milk
223,bread|butter
224,bread|butter|milk
225,apples|bread|chicken|eggs|milk|pasta|rice|tomato_sauce
226,chicken|coffee|milk|rice|sugar
227,apples|bananas|bread|butter|milk|yogurt
228,bread|butter|milk|tea|tomato_sauce
229,cheese|coffee|sugar
230,bread|butter|sugar
231,bread|butter|pasta|tomato_sauce
232,bread|cheese|coffee|sugar
233,bread|butter|milk
234,apples|bananas|milk|pasta|yogurt
235,bread|chicken|milk|rice
236,milk|sugar
237,bread|butter|tea
238,bread|butter|milk
239,bananas|bread|butter|milk|pasta|tea|tomato_sauce|yogurt
240,bread|milk|yogurt
241,bananas|bread|butter|milk|yogurt
242,apples|bread|butter|milk|pasta|sugar|tomato_sauce
243,bananas|bread|chicken|coffee|milk|pasta|rice|sugar|yogurt
244,bananas|bread|butter|rice
245,bread|butter|coffee|milk|sugar
246,butter|cheese|coffee|sugar
247,butter
248,eggs
249,bread
250,bread|milk
251,bread|milk|pasta|sugar
252,apples|chicken|coffee|pasta|rice|tomato_sauce
253,bread|butter|cheese|coffee|pasta
254,bananas|butter|yogurt
255,bread|butter|milk|pasta
256,bananas|chicken|coffee|eggs|pasta|tea|tomato_sauce
257,bananas|bread|coffee|sugar|yogurt
258,bananas|pasta|tomato_sauce
259,bread|eggs|milk
260,chicken|rice
261,bread|milk|pasta|tomato_sauce
262,bread|butter|milk
263,butter|coffee|tomato_sauce|yogurt
264,bread|chicken|milk|rice|sugar
265,coffee|sugar
266,apples|bread|butter|milk|tomato_sauce
267,rice
268,bread|butter|chicken|milk|rice
269,bread|coffee|milk|sugar
270,bread|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
271,bread|butter
272,bread|butter|chicken|rice
273,tomato_sauce
274,bananas|coffee|milk|sugar|yogurt
275,chicken|pasta|rice|yogurt
276,bread|butter|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
277,bread|butter|milk
278,bananas|chicken|rice|yogurt
279,eggs|tea
280,bananas|cheese|chicken|yogurt
281,bread|coffee|milk|pasta|sugar|tea|tomato_sauce
282,bread|chicken|milk|pasta|rice|tea|tomato_sauce
283,bread|milk|rice
284,apples
285,bread|butter|milk
286,apples|bananas|chicken|pasta|rice|tomato_sauce|yogurt
287,bananas|bread|butter
288,cheese|chicken|coffee|eggs|rice|sugar
289,bananas|milk|yogurt
290,bananas|bread|butter|milk|yogurt
291,bread|coffee|milk|sugar|yogurt
292,apples|bananas|bread|milk|yogurt
293,pasta
294,bread|butter|coffee|milk|pasta
295,chicken
296,bread|chicken|milk|pasta|rice
297,bananas|butter|chicken|coffee|eggs|pasta|sugar|tomato_sauce|yogurt
298,bananas|bread|milk|pasta|tomato_sauce|yogurt
299,bread|butter|chicken|pasta|tomato_sauce
300,coffee|sugar
301,bananas|rice|yogurt
302,coffee
303,bread|milk|pasta|tea
304,bread|butter|milk|pasta|tomato_sauce
305,bread|milk
306,bread|milk|pasta|tomato_sauce
307,bread|butter|coffee|pasta|sugar|tomato_sauce
308,apples
309,bread|butter|pasta|tomato_sauce
310,coffee
311,bread|milk|pasta|tomato_sauce
312,chicken|milk|pasta|rice|tomato_sauce
313,bananas
314,bananas|bread|butter|coffee|eggs|milk|pasta|sugar|tomato_sauce|yogurt
315,cheese|coffee|milk|sugar
316,bread|butter|tea
317,bread|butter|milk|tea
318,chicken|pasta|rice|sugar|tomato_sauce|yogurt
319,bread|butter|milk
320,bread|butter|milk
321,bananas|coffee|tea|yogurt
322,bread|cheese|chicken|milk|rice
323,bananas|bread|butter|coffee|yogurt
324,bananas|bread|milk|pasta|rice|tomato_sauce
325,bread|butter|chicken|milk|pasta|rice|yogurt
326,bread|chicken|milk|rice|tea|yogurt
327,bread|butter|coffee
328,butter|chicken|milk|rice|tea|yogurt
329,apples|butter|coffee|milk|sugar
330,bread|chicken|pasta|tea|tomato_sauce
331,bananas|coffee|yogurt
332,bread|butter|chicken|coffee|milk|pasta|rice|sugar|tomato_sauce
333,bread|butter|milk|rice|sugar
334,bananas|bread|butter|chicken|eggs|milk|rice|yogurt
335,bread|chicken|coffee|milk|rice|sugar|yogurt
336,bananas|chicken|pasta|rice|tomato_sauce|yogurt
337,apples|bread|butter|cheese|chicken|rice|sugar
338,bananas|bread|butter|milk|tea|yogurt
339,bread|butter|coffee|sugar|yogurt
340,bread|milk|sugar
341,eggs|pasta|tomato_sauce|yogurt
342,bread|chicken|milk|pasta|rice|tomato_sauce
343,bread|milk|pasta
344,bananas|chicken|coffee|eggs|sugar
345,tomato_sauce
346,bananas|bread|pasta|yogurt
347,bananas|coffee|pasta|sugar|tea|yogurt
348,bread|butter|coffee|milk
349,bread|butter|chicken|milk|rice
350,bananas|rice
351,coffee|eggs|sugar
352,bread|butter|coffee|milk|pasta|sugar|tomato_sauce
353,apples|bread|butter|eggs|milk
354,cheese
355,bread|butter|chicken|eggs|milk|rice
356,bread|butter|coffee|sugar
357,bread|butter|coffee|milk|sugar
358,bread|butter|coffee|milk|sugar
359,pasta|rice|tea|tomato_sauce
360,coffee|pasta|tomato_sauce
361,bread|milk|pasta|tomato_sauce
362,cheese
363,coffee|milk
364,bananas|coffee|rice|sugar
365,cheese|chicken|pasta|rice|tomato_sauce|yogurt
366,bread|cheese|coffee|milk|pasta
367,chicken|rice
368,chicken
369,bread|chicken|milk
370,coffee|eggs|sugar|tomato_sauce
371,bread|butter|chicken|coffee
372,bananas|bread|butter|sugar|yogurt
373,chicken|pasta|rice|tea|tomato_sauce
374,chicken
375,bread|butter|pasta|tomato_sauce
376,bread|butter|chicken|coffee|milk|rice|sugar
377,coffee|eggs|pasta|sugar|tea|tomato_sauce
378,bananas|chicken|rice|yogurt
379,apples|bananas|bread|butter|coffee|milk|tomato_sauce|yogurt
380,pasta|sugar|tomato_sauce
381,bread|butter|pasta|tomato_sauce
382,butter|eggs|milk
383,apples
384,bread|butter|milk|pasta|tomato_sauce
385,bananas|bread|coffee|sugar|tea|yogurt
386,bread|butter|sugar
387,bread|butter|chicken|pasta|rice
388,bread|butter|pasta|tomato_sauce
389,bananas|bread|milk|pasta|rice|tomato_sauce|yogurt
390,apples|bread|butter|chicken|milk|pasta|rice|tomato_sauce
391,bananas|chicken|rice|tomato_sauce|yogurt
392,bananas|bread|coffee|milk|yogurt
393,bread|butter|milk|sugar
394,chicken
395,bananas|bread|cheese|chicken|milk|pasta|rice|yogurt
396,bananas|coffee|eggs|rice|sugar|yogurt
397,bread|butter|coffee|milk|rice|sugar
398,bananas|milk|tomato_sauce|yogurt
399,bread|chicken|coffee|eggs|milk|rice|sugar|tea
400,butter|coffee|tomato_sauce
